field_id,sea_name,trt_name,block,plot,sampledate_ymd2,data_type,biomass_cat,value
sexy1,24/25,xpcc,B1,112,2025-11-03,fallbio_kgha,weeds,436.355
sexy1,24/25,a,B2,202,2025-09-22,fallbio_kgha,all,405
sexy1,24/25,a,B2,202,2025-10-07,fallbio_kgha,all,749.3999999999999
sexy1,24/25,a,B2,202,2025-10-20,fallbio_kgha,all,847.5999999999998
sexy1,24/25,a,B2,202,2025-11-03,fallbio_kgha,rye vo,189.13
sexy1,24/25,a,B2,202,2025-11-03,fallbio_kgha,weeds,322.73
sexy1,24/25,xacc,B2,204,2025-11-03,fallbio_kgha,oil,782.5699999999999
sexy1,24/25,xacc,B2,204,2025-11-03,fallbio_kgha,pha,49.599999999999994
sexy1,24/25,xacc,B2,204,2025-11-03,fallbio_kgha,rye vo,38.23
sexy1,24/25,xacc,B2,204,2025-11-03,fallbio_kgha,weeds,331.88500000000005
sexy1,24/25,pcc,B2,205,2025-09-22,fallbio_kgha,all,91.00000000000001
sexy1,24/25,pcc,B2,205,2025-10-07,fallbio_kgha,all,151.79999999999998
sexy1,24/25,pcc,B2,205,2025-10-20,fallbio_kgha,all,451.8
sexy1,24/25,pcc,B2,205,2025-11-03,fallbio_kgha,oil,236.95999999999998
sexy1,24/25,pcc,B2,205,2025-11-03,fallbio_kgha,pha,44.22999999999999
sexy1,24/25,pcc,B2,205,2025-11-03,fallbio_kgha,rye re,45.059999999999995
sexy1,24/25,pcc,B2,205,2025-11-03,fallbio_kgha,rye vo,15.869999999999996
sexy1,24/25,pcc,B2,205,2025-11-03,fallbio_kgha,weeds,93.97500000000001
sexy1,24/25,xp,B2,207,2025-11-03,fallbio_kgha,rye re,68.61999999999999
sexy1,24/25,xp,B2,207,2025-11-03,fallbio_kgha,rye vo,13.800000000000008
sexy1,24/25,xp,B2,207,2025-11-03,fallbio_kgha,weeds,339.185
sexy1,24/25,acc,B2,208,2025-09-22,fallbio_kgha,all,254.99999999999997
sexy1,24/25,acc,B2,208,2025-10-07,fallbio_kgha,all,630.6
sexy1,24/25,acc,B2,208,2025-10-20,fallbio_kgha,all,851.8000000000001
sexy1,24/25,acc,B2,208,2025-11-03,fallbio_kgha,oil,656.9499999999998
sexy1,24/25,acc,B2,208,2025-11-03,fallbio_kgha,pha,13.479999999999997
sexy1,24/25,acc,B2,208,2025-11-03,fallbio_kgha,rye vo,37.949999999999996
sexy1,24/25,acc,B2,208,2025-11-03,fallbio_kgha,weeds,142.25000000000003
sexy1,24/25,p,B2,209,2025-09-22,fallbio_kgha,all,114.39999999999998
sexy1,24/25,p,B2,209,2025-10-07,fallbio_kgha,all,440.8
sexy1,24/25,p,B2,209,2025-10-20,fallbio_kgha,all,392.2
sexy1,24/25,p,B2,209,2025-11-03,fallbio_kgha,rye re,86.39999999999999
sexy1,24/25,p,B2,209,2025-11-03,fallbio_kgha,rye vo,72.15000000000002
sexy1,24/25,p,B2,209,2025-11-03,fallbio_kgha,weeds,243.35500000000005
sexy1,24/25,xpcc,B2,210,2025-11-03,fallbio_kgha,oil,336.52
sexy1,24/25,xpcc,B2,210,2025-11-03,fallbio_kgha,pha,22.789999999999996
sexy1,24/25,xpcc,B2,210,2025-11-03,fallbio_kgha,rye re,41.93000000000001
sexy1,24/25,xpcc,B2,210,2025-11-03,fallbio_kgha,rye vo,3.410000000000002
sexy1,24/25,xpcc,B2,210,2025-11-03,fallbio_kgha,weeds,116.63000000000001
sexy1,24/25,xa,B2,211,2025-11-03,fallbio_kgha,rye vo,152.06
sexy1,24/25,xa,B2,211,2025-11-03,fallbio_kgha,weeds,461.07500000000005
sexy1,24/25,acc,B3,302,2025-09-22,fallbio_kgha,all,376
sexy1,24/25,acc,B3,302,2025-10-07,fallbio_kgha,all,468.79999999999995
sexy1,24/25,acc,B3,302,2025-10-20,fallbio_kgha,all,888.0000000000001
sexy1,24/25,acc,B3,302,2025-11-03,fallbio_kgha,oil,233.36999999999998
sexy1,24/25,acc,B3,302,2025-11-03,fallbio_kgha,pha,35.99
sexy1,24/25,acc,B3,302,2025-11-03,fallbio_kgha,rye vo,181.31
sexy1,24/25,acc,B3,302,2025-11-03,fallbio_kgha,weeds,170.72000000000003
sexy1,24/25,xp,B3,303,2025-11-03,fallbio_kgha,rye re,111.37000000000002
sexy1,24/25,xp,B3,303,2025-11-03,fallbio_kgha,rye vo,70.98
sexy1,24/25,xp,B3,303,2025-11-03,fallbio_kgha,weeds,202.99500000000003
sexy1,24/25,xpcc,B3,304,2025-11-03,fallbio_kgha,oil,183.87
sexy1,24/25,xpcc,B3,304,2025-11-03,fallbio_kgha,pha,17.700000000000003
sexy1,24/25,xpcc,B3,304,2025-11-03,fallbio_kgha,rye re,121.08
sexy1,24/25,xpcc,B3,304,2025-11-03,fallbio_kgha,rye vo,8.130000000000006
sexy1,24/25,xpcc,B3,304,2025-11-03,fallbio_kgha,weeds,118.48500000000003
sexy1,24/25,pcc,B3,305,2025-09-22,fallbio_kgha,all,191.4
sexy1,24/25,pcc,B3,305,2025-10-07,fallbio_kgha,all,242.19999999999996
sexy1,24/25,pcc,B3,305,2025-10-20,fallbio_kgha,all,809.4
sexy1,24/25,pcc,B3,305,2025-11-03,fallbio_kgha,oil,78.02000000000001
sexy1,24/25,pcc,B3,305,2025-11-03,fallbio_kgha,pha,3.1900000000000035
sexy1,24/25,pcc,B3,305,2025-11-03,fallbio_kgha,rye re,378.69
sexy1,24/25,pcc,B3,305,2025-11-03,fallbio_kgha,rye vo,26.929999999999996
sexy1,24/25,pcc,B3,305,2025-11-03,fallbio_kgha,weeds,18.58000000000001
sexy1,24/25,xa,B3,306,2025-11-03,fallbio_kgha,rye vo,112.56
sexy1,24/25,xa,B3,306,2025-11-03,fallbio_kgha,weeds,452.13500000000005
sexy1,24/25,a,B3,307,2025-09-22,fallbio_kgha,all,331.5999999999999
sexy1,24/25,a,B3,307,2025-10-07,fallbio_kgha,all,561.4
sexy1,24/25,a,B3,307,2025-10-20,fallbio_kgha,all,871.3999999999999
sexy1,24/25,a,B3,307,2025-11-03,fallbio_kgha,rye vo,198.01999999999998
sexy1,24/25,a,B3,307,2025-11-03,fallbio_kgha,weeds,304.015
sexy1,24/25,xacc,B3,309,2025-11-03,fallbio_kgha,oil,395.10999999999996
sexy1,24/25,xacc,B3,309,2025-11-03,fallbio_kgha,pha,32.26
sexy1,24/25,xacc,B3,309,2025-11-03,fallbio_kgha,rye vo,77.10000000000001
sexy1,24/25,xacc,B3,309,2025-11-03,fallbio_kgha,weeds,213.75
sexy1,24/25,p,B3,311,2025-09-22,fallbio_kgha,all,244.2
sexy1,24/25,p,B3,311,2025-10-07,fallbio_kgha,all,483.59999999999997
sexy1,24/25,p,B3,311,2025-10-20,fallbio_kgha,all,446.79999999999995
sexy1,24/25,p,B3,311,2025-11-03,fallbio_kgha,rye re,175.73000000000002
sexy1,24/25,p,B3,311,2025-11-03,fallbio_kgha,rye vo,69.56
sexy1,24/25,p,B3,311,2025-11-03,fallbio_kgha,weeds,75.62500000000001
sexy1,24/25,xacc,B4,403,2025-11-03,fallbio_kgha,oil,175.4
sexy1,24/25,xacc,B4,403,2025-11-03,fallbio_kgha,pha,51.90999999999999
sexy1,24/25,xacc,B4,403,2025-11-03,fallbio_kgha,rye vo,181.19
sexy1,24/25,xacc,B4,403,2025-11-03,fallbio_kgha,weeds,160.235
sexy1,24/25,acc,B4,404,2025-09-22,fallbio_kgha,all,284.4
sexy1,24/25,acc,B4,404,2025-10-07,fallbio_kgha,all,685.1999999999999
sexy1,24/25,acc,B4,404,2025-10-20,fallbio_kgha,all,624.4
sexy1,24/25,acc,B4,404,2025-11-03,fallbio_kgha,oil,677.1099999999999
sexy1,24/25,acc,B4,404,2025-11-03,fallbio_kgha,pha,56.4
sexy1,24/25,acc,B4,404,2025-11-03,fallbio_kgha,rye vo,128.14000000000001
sexy1,24/25,acc,B4,404,2025-11-03,fallbio_kgha,weeds,91.07000000000002
sexy1,24/25,p,B4,405,2025-09-22,fallbio_kgha,all,117.99999999999999
sexy1,24/25,p,B4,405,2025-10-07,fallbio_kgha,all,303.40000000000003
sexy1,24/25,p,B4,405,2025-10-20,fallbio_kgha,all,320.79999999999995
sexy1,24/25,p,B4,405,2025-11-03,fallbio_kgha,rye re,67.07
sexy1,24/25,p,B4,405,2025-11-03,fallbio_kgha,rye vo,42.94
sexy1,24/25,p,B4,405,2025-11-03,fallbio_kgha,weeds,34.75500000000002
sexy1,24/25,xpcc,B4,406,2025-11-03,fallbio_kgha,oil,312.99999999999994
sexy1,24/25,xpcc,B4,406,2025-11-03,fallbio_kgha,pha,2.26
sexy1,24/25,xpcc,B4,406,2025-11-03,fallbio_kgha,rye re,43.720000000000006
sexy1,24/25,xpcc,B4,406,2025-11-03,fallbio_kgha,rye vo,23.660000000000004
sexy1,24/25,xpcc,B4,406,2025-11-03,fallbio_kgha,weeds,170.39500000000004
sexy1,24/25,xa,B4,407,2025-11-03,fallbio_kgha,rye vo,231.95
sexy1,24/25,xa,B4,407,2025-11-03,fallbio_kgha,weeds,289.00000000000006
sexy1,24/25,pcc,B4,408,2025-09-22,fallbio_kgha,all,111.79999999999998
sexy1,24/25,pcc,B4,408,2025-10-07,fallbio_kgha,all,246.4
sexy1,24/25,pcc,B4,408,2025-10-20,fallbio_kgha,all,492.99999999999994
sexy1,24/25,pcc,B4,408,2025-11-03,fallbio_kgha,oil,339.02
sexy1,24/25,pcc,B4,408,2025-11-03,fallbio_kgha,pha,13.659999999999995
sexy1,24/25,pcc,B4,408,2025-11-03,fallbio_kgha,rye re,89.75000000000001
sexy1,24/25,pcc,B4,408,2025-11-03,fallbio_kgha,rye vo,24.459999999999997
sexy1,24/25,pcc,B4,408,2025-11-03,fallbio_kgha,weeds,61.70000000000002
sexy1,24/25,xp,B4,409,2025-11-03,fallbio_kgha,rye re,92.97000000000001
sexy1,24/25,xp,B4,409,2025-11-03,fallbio_kgha,rye vo,26.810000000000006
sexy1,24/25,xp,B4,409,2025-11-03,fallbio_kgha,weeds,326.65000000000003
sexy1,24/25,a,B4,412,2025-09-22,fallbio_kgha,all,255.2
sexy1,24/25,a,B4,412,2025-10-07,fallbio_kgha,all,502
sexy1,24/25,a,B4,412,2025-10-20,fallbio_kgha,all,693.6
sexy1,24/25,a,B4,412,2025-11-03,fallbio_kgha,rye vo,244.99
sexy1,24/25,a,B4,412,2025-11-03,fallbio_kgha,weeds,148.65500000000006
